Company Name,ISIN,Industry,Total score (max. 16),1a,1b,1c,1d,JT1,2a,2b,2c,2d,JT2,3a,3b,3c,3d,JT3,4a,4b,4c,4d,JT4,5a,5b,5c,5d,JT5,6a,6b,6c,6d,JT6
Guangzhou Automobile Group,CNE100001NQ2,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellenic Petroleum,GRS298343005,Oil and Gas,2.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Hess Corporation ,US42809H1077,Oil and Gas,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
Holly Frontier,US4361061082,Oil and Gas,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda Motor,JP3854600008,Automotive,3,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Hyundai Motor Company,KR7000720003,Automotive,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
Iberdrola,ES0144580Y14,Electric Utilities,8,1,1,1,0,3,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0.5,0.5,0.5,0.5,2,0,0.5,0.5,0.5,1.5,0,0,0,0,0
Idemitsu Kosan,JP3142500002,Oil and Gas,3,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Indian Oil Corporation (IndianOil),INE242A01010,Oil and Gas,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Inpex,JP3294460005,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Inter RAO,RU000A0JPNM1,Electric Utilities,4,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0
Kansai Electric Power Company (KEPCO),JP3228600007,Electric Utilities,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
Kia Motors Corporation,KR7000270009,Automotive,2,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
Korea Electric Power Corporation (KEPCO/Hanjeon),KR7015760002,Electric Utilities,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0
Kuwait Petroleum Corporation (Q8),0,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Kyushu Electric Power,JP3246400000,Electric Utilities,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
