"link","name","totalscr","govandstrat","ecoandbio","socialincl"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/the-tjx-companies","The TJX Companies","14.0","23.7","9.0","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/dalmia-bharat","Dalmia Bharat","13.9","40.0","15.1","1.5"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/lyondellbasell-industries","LyondellBasell Industries","13.8","28.7","8.4","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/obayashi-corporation","Obayashi Corporation","13.8","23.7","6.8","20.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/shin-etsu-chemical","Shin-Etsu Chemical","13.8","23.7","13.3","10.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/u-s-steel","U.S. Steel","13.7","18.7","10.8","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/alpek","Alpek","13.6","17.5","9.9","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/aurobindo-pharma","Aurobindo Pharma","13.6","28.7","17.4","1.5"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/mr-price-2","Mr. Price","13.6","32.5","5.2","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/o-i","O-I","13.6","23.7","13.1","10.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/celanese","Celanese","13.5","25.0","6.1","20.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ganfeng-lithium","Ganfeng Lithium","13.5","35.0","11.8","7.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/asos","Asos","13.4","25.0","2.9","25.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/deme","DEME","13.4","30.0","11.1","10.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/kobe-steel-kobelco","Kobe Steel","13.3","17.5","12.3","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/pou-chen-corporation","Pou Chen Corporation","13.3","27.5","7.0","17.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/zalando","Zalando","13.2","25.0","8.2","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/grasim-industries","Grasim Industries","13.1","22.5","12.6","10.0"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/voestalpine","Voestalpine","13.1","32.5","6.0","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/wienerberger","Wienerberger","13.1","35.0","5.3","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/codelco","Codelco","12.9","28.7","11.3","8.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/aecom","AECOM","12.8","17.5","5.8","21.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/otto-group","Otto Group","12.7","23.7","0.0","28.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/nan-ya-plastics-corporation","Nan Ya Plastics Corporation","12.4","38.7","11.3","3.5"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/toray-industries","Toray Industries","12.3","11.2","11.8","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ineos","INEOS","12.2","17.5","8.2","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/tpi-polene","TPI Polene","12.2","38.7","10.2","4.5"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/nine-dragons-paper","Nine Dragons Paper","12.1","23.7","13.9","4.5"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/china-international-marine-containers-group","China International Marine Containers","12.0","40.0","12.5","0.0"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/lg-chem","LG Chem","12.0","18.7","10.4","11.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/strabag","STRABAG","12.0","27.5","5.2","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ppg-industries","PPG Industries","11.9","23.7","5.1","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/bestseller","BESTSELLER","11.8","0.0","9.1","20.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/bumi-resources","Bumi Resources","11.8","27.5","8.0","11.5"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/fletcher-building","Fletcher Building","11.8","18.7","6.1","17.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/formosa-plastics","Formosa Plastics","11.8","32.5","9.2","7.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/j-crew-group","J Crew Group","11.8","23.7","5.2","17.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/kajima-corporation","Kajima Corporation","11.8","22.5","7.1","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/kumagai-gumi","Kumagai Gumi","11.8","16.2","9.7","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/martin-marietta-materials","Martin Marietta Materials","11.8","12.5","9.9","14.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/guess","Guess?","11.7","33.7","9.7","6.0"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/cheng-shin-rubber","Cheng Shin Rubber","11.6","21.2","10.8","8.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/tianqi-lithium","Tianqi Lithium","11.5","38.7","11.9","0.0"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/westlake-chemical","Westlake Chemical","11.5","28.7","4.9","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/haseko-corporation","Haseko Corporation","11.4","18.7","11.1","8.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/alpla","Alpla","11.2","12.5","9.2","14.0"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/summit-materials","Summit Materials","11.1","18.7","5.1","17.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/abercrombie-fitch-2","Abercrombie & Fitch","11.0","12.5","9.0","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/larsen-toubro","Larsen & Toubro","10.9","35.0","6.9","7.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/foot-locker-2","Foot Locker","10.8","18.7","2.6","20.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/macys-2","Macy's","10.3","12.5","4.0","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/socfin-group","Socfin Group","10.3","12.5","5.5","17.0"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ross-stores-2","Ross Stores","10.0","18.7","6.6","11.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/lpp-2","LPP","9.8","17.5","1.8","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/taiheiyo-cement-corporation","Taiheiyo Cement Corporation","9.7","35.0","4.7","7.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/nampak","Nampak","9.6","21.2","3.2","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/sun-pharma","Sun Pharma","9.6","38.7","1.6","10.4"
